"T_JOB_ID","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","VERSIONLASTCHANGED","CHNG_TYPE","DEFINITIONDESCRIPTION","STATUS","CONSUMER_NAME","CLASSTYPE","FORMULA","EXMPL_ANSWERS","SURVEY_QUEST_TEXT","SURVEY_QUEST_SRC","UNITSREQUIRED","SUBMITTED_UNITS","RELATEDNAMES2","SHORTNAME","ORDER_OBS","CDISC_COMMON_TESTS","HL7_FIELD_SUBFIELD_ID","EXTERNAL_COPYRIGHT_NOTICE","EXAMPLE_UNITS","LONG_COMMON_NAME","UNITSANDRANGE","EXAMPLE_UCUM_UNITS","EXAMPLE_SI_UCUM_UNITS","STATUS_REASON","STATUS_TEXT","CHANGE_REASON_PUBLIC","COMMON_TEST_RANK","COMMON_ORDER_RANK","COMMON_SI_TEST_RANK","HL7_ATTACHMENT_STRUCTURE","EXTERNAL_COPYRIGHT_LINK","PANELTYPE","ASKATORDERENTRY","ASSOCIATEDOBSERVATIONS","VERSIONFIRSTRELEASED","VALIDHL7ATTACHMENTREQUEST","DISPLAYNAME","LMX_BK","LNC_BK","LMX_METHOD_SHORT_NAME"
"823367","14804-9","Lactate dehydrogenase","CCnc","Pt","Ser/Plas","Qn","Reaction: lactate to pyruvate","CHEM","2.68","MIN","","ACTIVE","","1","","","","","Y","","2-Hydroxypropanoic acid; 2-hydroxy-propionate; 2-hydroxy-propionic acid; Catalytic Concentration; Chemistry; Dehydrog; Dehyrdogenase; L to P; L.D.H; Lact; Lactic acid; Lactic acid dehydrogenase; LD; LDH; L-lactate; L-lactate dehydrogenase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; React; Rxn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker; UniversalLabOrders","LDH SerPl L to P-cCnc","Both","","","","arb U/L","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction","","U/L","","","","","0","0","0","","","","","95405-7","1.0k","","LDH Lactate to pyruvate reaction [Catalytic activity/Vol]","172299","14804-9","C-PH-LDH-01"
"823367","25542-2","Toxoplasma gondii Ab.IgM","PrThr","Pt","Ser","Ord","","MICRO","2.56","MIN","","ACTIVE","","1","","","","","","","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; ID; Immune globulin M; Immunoglobulin M; Infectious Disease; InfectiousDisease; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR; T gondii; Toxo; Toxoplasmosis","T gondii IgM Ser Ql","Both","","","","","Toxoplasma gondii IgM Ab [Presence] in Serum","","","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","0","","","","","","2.00","","T. gondii IgM Ql (S)","21964","25542-2","TXU"
"823367","13945-1","Erythrocytes","Naric","Pt","Urine sed","Qn","Microscopy.light.HPF","UA","2.70","MIN","","ACTIVE","","1","","","","","Y","","#/area; Discocytes; Erthrocyte; Erythrocyte; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; RBCS; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; Renal; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","RBC #/area UrnS HPF","Observation","","","","/HPF","Erythrocytes [#/area] in Urine sediment by Microscopy high power field","","/[HPF]","","","","","100","0","100","","","","","","1.0k","","RBC LM.HPF (Urine sed) [#/Area]","173345","13945-1","C-UN-SEDERY-01"
"823367","2078-4","Chloride","SCnc","Pt","Urine","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","Y","","Chemistry; Cl; Cl-; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UniversalLabOrders; UR; Urn","Chloride Ur-sCnc","Both","","","","mmol/L","Chloride [Moles/volume] in Urine","","mmol/L","","","","","697","197","697","","","","","","1.0","","Chloride (U) [Moles/Vol]","6167","2078-4","UCL"
"823367","711-2","Eosinophils","NCnc","Pt","Bld","Qn","Automated count","HEM/BC","2.40","MIN","","ACTIVE","","1","","","","","Y","","#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; Eos; Eosin; Eosino; Eosinophil; Eosins; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders; WB; Whole blood","Eosinophil # Bld Auto","Both","","","","10*9/L","Eosinophils [#/volume] in Blood by Automated count","","10*3/uL","","","","","50","0","50","","","","","","1.0","","Eosinophils Auto (Bld) [#/Vol]","169918","711-2","H-BE-EOSA-01"
"823367","8146-3","Amphetamines","PrThr","Pt","Meconium","Ord","Screen","DRUG/TOX","2.56","MIN","","ACTIVE","","1","","","","","","","Addiction; Amph; Amphetam; Amphetamine; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Illicit; Mec; Ordinal; Point in time; PotentialForAbuse; PR; QL; Qual; Qualitative; Random; Scn; Scr; Screen; Scrn; Speed; UniversalLabOrders","Amphetamines Mec Ql Scn","Both","","","","","Amphetamines [Presence] in Meconium by Screen method","","","","","","The Property has been changed from ACnc to reflect new model for ordinal terms; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","1116","0","1116","","","","","","1.0h(2)","","Amphetamines Screen Ql (Mec)","172806","8146-3","C-ME-AMPH-01"
"823367","34426-7","cycloSPORINE.monoclonal","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX","2.70","MIN","","ACTIVE","","1","","","","","N","","Ciclosporin; Ciclosporine; CsA; Cyclosporin a; cycloSPORINE monocl; Cyclosporins; DRUG/TOXICOLOGY; Drugs; Gengraf; Level; Mass concentration; Neoral; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Restasis; Sandimmune; SangCya; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","cycloSPORINE monocl SerPl-mCnc","Both","","","","ug/L","cycloSPORINE.monoclonal [Mass/volume] in Serum or Plasma","","ug/L","","","","","0","0","0","","","","","","2.10","","cycloSPORINE.monoclonal [Mass/Vol]","176284","34426-7","C-BE-CICLO-01"
"823367","1925-7","Base excess","SCnc","Pt","BldA","Qn","Calculated","CHEM","2.70","MIN","","ACTIVE","","1","","","","","Y","","ABE; ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Base ex; BE; Blood arterial; BSE; Calc; Calculation; Chemistry; EXS; Level; Lung; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; Substance Concentration","Base excess BldA Calc-sCnc","Observation","","","","mmol/L","Base excess in Arterial blood by calculation","","mmol/L","","","","","389","0","389","","","","","","1.0","","Base excess Calc (BldA) [Moles/Vol]","5707","1925-7","BE"
"823367","51844-9","Cortisol","SCnc","Pt","Saliva","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","","17-Hydroxycorticosterone; Chemistry; Compound F; Coritsol; Cort; F; hydrocortisone; Level; Oral fluid; Point in time; QNT; Quan; Quant; Quantitative; Random; Sal; Substance concentration","Cortis Sal-sCnc","Both","","","","nmol/L","Cortisol [Moles/volume] in Saliva (oral fluid)","","nmol/L","","","","","0","0","1926","","","","","","2.24","","Cortisol (Sal) [Moles/Vol]","7548","51844-9","CORS"
"823367","50410-0","Coagulation dilute Russell viper venom induced/Coagulation dilute Russell viper venom induced.excess phospholipid","Ratio","Pt","PPP","Qn","Coag","COAG","2.69","MIN","Dilute Russell Viper Venom Time Confirmation reported as a Ratio as part of the Lupus Anticoagulant Panel. In the confirmatory assay, a second dRVVT is performed using a reagent with additional phospholipids capable of neutralizing the LA. A ratio of the clotting times is calculated from the dRVVT screening test divided by the dRVVT confirmatory test. If a LA is present, the dRVVT confirmatory test will correct to normal. The dRVVT confirmatory reagent also contains a neutralizing agent for heparin in concentrations up to 1 unit/mL. Although patients on Coumadin or patients with deficiencies of factor II, V, and X may show prolonged times, the final ratio will be normal unless a LA is present. The dRVVT confirmatory assay should be run only if the dRVVT screening assay is elevated above the normal reference interval. In thei case, the confirmatory test is done and a ratio is calculated. If the ratio is greater than the upper limit of the established normal reference interval, the LA is present. If the ratio is less than or equal to the upper limit, the LA is absent. The dRVVT screen to confirm ratio formula is based on the 2009 International Society on Thrombosis and Haemostasis lupus anticoagulant testing guidelines. [PMID:19624461]","ACTIVE","","1","Screen dRVVT/Confirm dRVVT","","","","N","","Clot; Clottable; Coag; Coagulation assay; Coagulation dilute Russell viper venom induced confirmatory test; Dil; Dil Russell Vip Ven; Dilut; dRVV; dRVVT; dRVVT cfm; dRVVT confirm; dRVVT confirmation test; dRVVT/dRVVT cfm; EXS; Hematology; Heme; Lipid; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; Rus; RVV; Screening test for lupus anticoagulant; Tilt tube","dRVVT screen to confirm ratio","Both","","","","","dRVVT/dRVVT W excess phospholipid (screen to confirm ratio)","","{ratio}","","","","","3000","0","3000","","","","","","2.22","","dRVVT screen to confirm Coag (PPP) [Ratio]","136981","50410-0","LA2"
