loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"14804-9","Lactate dehydrogenase","Ser/Plas","Qn","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction","U/L","LDH Lactate to pyruvate reaction [Catalytic activity/Vol]"
"25542-2","Toxoplasma gondii Ab.IgM","Ser","Ord","Toxoplasma gondii IgM Ab [Presence] in Serum","","T. gondii IgM Ql (S)"
"13945-1","Erythrocytes","Urine sed","Qn","Erythrocytes [#/area] in Urine sediment by Microscopy high power field","/[HPF]","RBC LM.HPF (Urine sed) [#/Area]"
"2078-4","Chloride","Urine","Qn","Chloride [Moles/volume] in Urine","mmol/L","Chloride (U) [Moles/Vol]"
"711-2","Eosinophils","Bld","Qn","Eosinophils [#/volume] in Blood by Automated count","10*3/uL","Eosinophils Auto (Bld) [#/Vol]"
"8146-3","Amphetamines","Meconium","Ord","Amphetamines [Presence] in Meconium by Screen method","","Amphetamines Screen Ql (Mec)"
"34426-7","cycloSPORINE.monoclonal","Ser/Plas","Qn","cycloSPORINE.monoclonal [Mass/volume] in Serum or Plasma","ug/L","cycloSPORINE.monoclonal [Mass/Vol]"
"1925-7","Base excess","BldA","Qn","Base excess in Arterial blood by calculation","mmol/L","Base excess Calc (BldA) [Moles/Vol]"
"51844-9","Cortisol","Saliva","Qn","Cortisol [Moles/volume] in Saliva (oral fluid)","nmol/L","Cortisol (Sal) [Moles/Vol]"
"50410-0","Coagulation dilute Russell viper venom induced/Coagulation dilute Russell viper venom induced.excess phospholipid","PPP","Qn","dRVVT/dRVVT W excess phospholipid (screen to confirm ratio)","{ratio}","dRVVT screen to confirm Coag (PPP) [Ratio]"
"52773-9","Clotting time.extrinsic coagulation system activated","Bld","Qn","Clotting time.extrinsic coagulation system activated of Blood by Rotational TEG","s","Clotting time.extrinsic coagulation system activated ROTEM (Bld)"
"83090-1","Cortisol","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma by Immunoassay","nmol/L","Cortisol IA [Moles/Vol]"
"73676-9","Voriconazole^trough","Ser/Plas","Qn","Voriconazole [Mass/volume] in Serum or Plasma --trough","ug/mL","Voriconazole trough [Mass/Vol]"
"55171-3","Cytoplasmic Ab pattern","Ser","Nom","Cytoplasmic Ab pattern [Interpretation] in Serum by Immunofluorescence","","Cytoplasmic Ab pattern IF (S) [Interp]"
"3443-9","ceFAZolin","Ser/Plas","Qn","ceFAZolin [Mass/volume] in Serum or Plasma","ug/mL","ceFAZolin [Mass/Vol]"
"43595-8","Methadone","Meconium","Ord","Methadone [Presence] in Meconium","","Methadone Ql (Mec)"
"2714-4","Oxyhemoglobin/Hemoglobin.total","BldA","Qn","Fractional oxyhemoglobin in Arterial blood","%","Oxyhemoglobin (BldA) [Mass fraction]"
"3872-9","Nortriptyline","Ser/Plas","Qn","Nortriptyline [Mass/volume] in Serum or Plasma","ug/mL","Nortriptyline [Mass/Vol]"
"62238-1","Glomerular filtration rate/1.73 sq M.predicted","Ser/Plas/Bld","Qn","Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)","mL/min/{1.73_m2}","GFR/1.73 sq M.predicted CKD-EPI (S/P/Bld) [Vol rate/Area]"
"74520-8","Complement alternate pathway AH50 actual/normal","Ser","Qn","Complement alternate pathway AH50 actual/normal in Serum by Immunoassay","%","Complement alternate pathway AH50 actual/normal IA (S) [Rel units/Vol]"
"14934-4","Urate","Urine","Qn","Urate [Moles/volume] in Urine","umol/L","Urate (U) [Moles/Vol]"
"26454-9","Erythrocytes","CSF","Qn","Erythrocytes [#/volume] in Cerebral spinal fluid","10*3/uL","RBC (CSF) [#/Vol]"
"19237-7","Base excess^^standard","BldV","Qn","Base excess standard in Venous blood by calculation","mmol/L","Base excess standard Calc (BldV) [Moles/Vol]"
"12181-4","Calcium","Body fld","Qn","Calcium [Moles/volume] in Body fluid","mmol/L","Calcium (Body fld) [Moles/Vol]"
